N,sample,seed,avg_degree,edges,threshold,threshold_RR,delta_threshold,S_N,R_N,epsilon,epsilon_crit,margin_M,relative_residual,source_row
500,420,440766188,4,1000,4.1152618070072204,4.0487804878048799,0.066481319202342307,171.97939434274201,43.304636612794098,0.0018013089782789001,0.0057449549478733996,-0.0039436459695945001,8.5112325605213495e-07,2020
700,9,29966755,4,1400,4.0804869937769599,4.0346820809248598,0.0458049128521072,213.25405464933701,53.771775836850303,0.0021489025156859001,0.0049050211194860997,-0.0027561186038002001,7.7884664674012804e-07,2109
700,11,31966761,4,1400,4.0666422526110004,4.0346820809248598,0.031960171686143297,236.36954702286101,59.632201914722302,0.0022837762554705002,0.0042151813867015997,-0.001931405131231,2.0833321849916701e-07,2111
700,25,45966803,4,1400,4.0669964959187004,4.0346820809248598,0.032314414993846803,260.06150232840997,65.452600112195199,0.0016812351162245999,0.003635396098472,-0.0019541609822474001,8.8920802360662804e-07,2125
700,27,47966809,4,1400,4.08423096667536,4.0346820809248598,0.049548885750500198,210.680536965318,53.094205655445997,0.0020128646918447998,0.0049911877914622996,-0.0029783230996175002,9.4281997687033296e-07,2127
700,30,50966818,4,1400,4.0612290959126103,4.0346820809248598,0.0265470149877567,258.77598017334401,65.226174974048703,0.0020565275430750999,0.0036641312447936998,-0.0016076037017184999,5.2064012067469202e-07,2130
700,40,60966848,4,1400,4.0656404518532501,4.0346820809248598,0.0309583709283974,240.60848889254899,60.689028411721601,0.0022314515628917,0.0041030598945439997,-0.0018716083316521999,8.9823552896761704e-07,2140
700,45,65966863,4,1400,4.05841639317104,4.0346820809248598,0.023734312246180202,292.13359704297801,73.489361629483497,0.0015608008573964,0.0030003523735547002,-0.0014395515161583,6.6234178562794804e-07,2145
700,51,71966881,4,1400,4.0605853550196898,4.0346820809248598,0.025903274094834401,230.147837444445,58.1859473935029,0.0028198745623598002,0.0043872276283905996,-0.0015673530660307001,9.748365653371991e-07,2151
700,52,72966884,4,1400,4.0615782598511796,4.0346820809248598,0.0268961789263269,219.77521821796799,55.618372673282799,0.0030693547901376001,0.0046957145050987,-0.0016263597149610001,2.8198243767579601e-07,2152
700,53,73966887,4,1400,4.0704989839644803,4.0346820809248598,0.035816903039626702,232.15527084004199,58.542274307309803,0.0021686201458082002,0.0043307092653870997,-0.0021620891195789,7.8942520470529402e-07,2153
700,60,80966908,4,1400,4.06108425249045,4.0346820809248598,0.026402171565594702,237.86809093517201,60.080078773692399,0.0025772941527762001,0.0041750877325146003,-0.0015977935797384,9.1750758353301802e-07,2160
700,63,83966917,4,1400,4.0627243466840399,4.0346820809248598,0.028042265759187199,248.43797928517299,62.658306883024601,0.0022090505779767998,0.0039060271357635999,-0.0016969765577868,8.6194198684178601e-07,2163
