case,module,local_node,global_node,is_bridge_endpoint,distance_to_bridge_endpoint_before,top10_shell,degree_before,degree_after,tau_before,tau_after,delta_tau,tau_before_minus_S_before,tau_after_minus_S_after,delta_tau_centered,tau_ratio,shell,case_label,case_order
shell0-shell0,1,875,875,0,-1,2,2,2,373.67119617523599,724.65242525505096,350.98122907981599,-34.590544277777099,-77.343554825327104,-42.753010547549998,1.9392782549801399,2,shell0-shell0,0
shell0-shell0,1,876,876,0,-1,2,2,2,364.41185915672298,708.09803005239701,343.68617089567402,-43.849881296289297,-93.897950027981096,-50.048068731691799,1.9431256482458901,2,shell0-shell0,0
shell0-shell0,1,878,878,0,-1,2,2,2,364.91501128657097,710.24240674673194,345.32739546016097,-43.346729166441797,-91.753573333646301,-48.406844167204397,1.94632280059582,2,shell0-shell0,0
shell0-shell0,1,881,881,0,-1,2,3,3,389.68632876747398,755.79785216962898,366.111523402155,-18.575411685538601,-46.198127910749797,-27.6227162252112,1.9395031243721499,2,shell0-shell0,0
shell0-shell0,1,882,882,0,-1,2,2,2,360.105048146917,700.401111375352,340.29606322843603,-48.156692306095998,-101.594868705026,-53.438176398930302,1.9449910935144701,2,shell0-shell0,0
shell0-shell0,1,887,887,0,-1,2,2,2,368.46643760821598,715.69669414772102,347.23025653950498,-39.795302844797199,-86.299285932657895,-46.503983087860703,1.94236603689997,2,shell0-shell0,0
shell0-shell0,1,888,888,0,-1,2,2,2,392.667825567124,763.86289287920295,371.195067312079,-15.5939148858886,-38.133087201175201,-22.5391723152865,1.9453157176195099,2,shell0-shell0,0
shell0-shell0,1,893,893,0,-1,2,2,2,348.88820662591701,675.70879033031997,326.82058370440302,-59.3735338270955,-126.287189750058,-66.913655922962903,1.9367487278090301,2,shell0-shell0,0
shell0-shell0,1,897,897,0,-1,2,2,2,368.90633335859502,718.32997786306998,349.42364450447502,-39.3554070944176,-83.666002217308701,-44.310595122891101,1.9471879794614899,2,shell0-shell0,0
shell0-shell0,1,902,902,0,-1,2,2,2,342.30776817374198,663.82046186705395,321.51269369331197,-65.953972279271198,-138.17551821332501,-72.221545934053594,1.9392503576784901,2,shell0-shell0,0
