node,degree,shell,x,y,is_hub
166,6,2,0.097484151155059789,0.31348864485270311,0
167,2,1,-0.11921129980190009,0.13370423731017389,0
168,4,2,-0.13724779550416827,0.27409548950712509,0
169,3,2,-0.30175680688947537,-0.097279221233824015,0
170,5,2,-0.30367737820077217,-0.075075388852023639,0
171,2,1,0.040142514632767468,-0.2256707101119825,0
172,7,1,-0.11569271834415486,-0.19180161055677161,0
173,3,1,-0.092679291797120297,-0.18272360265032714,0
174,4,3,0.14753499360959205,0.45061436624242857,0
175,6,2,-0.3531199745799411,-0.077576201651208737,0
176,2,1,0.1648683387724664,-0.20170482988765334,0
177,3,1,-0.10393470956818034,0.14800614876356571,0
178,6,2,-0.24967899547664699,-0.25675239061861477,0
179,8,2,0.11017301132507129,0.31928098155330142,0
180,5,1,0.12926167049919079,-0.20672639773866183,0
181,4,2,0.071001899010969594,0.31174668232493336,0
182,2,2,-0.19056316624924019,0.25138852439353526,0
183,7,2,-0.29570353597081467,-0.05951578279962097,0
184,5,2,0.084081965777217688,0.32481846214121829,0
185,13,1,-0.15914661204173713,0.073050057043845096,0
186,6,3,-0.35668037325959573,-0.32246202446146044,0
187,2,1,0.12691771244068767,0.15636971807707184,0
188,5,1,-0.18115850899563019,0.061176737186635959,0
189,2,2,-0.30344501821336012,-0.14083941004368494,0
190,6,2,-0.10820389998300174,0.28287831396474683,0
191,8,2,-0.32321422993941373,-0.050357644722942296,0
192,2,2,0.34902485637174985,-0.17731653845291381,0
193,4,2,-0.14017573522561064,0.27527132636839369,0
194,7,2,-0.11216403949186896,0.30844804228546396,0
195,7,2,0.28767346730465287,0.17089686600118048,0
196,2,1,-0.18298769556476618,0.025377047595437546,0
197,8,2,0.10619339059756733,0.30865602774606282,0
198,3,2,-0.15048691806626133,0.25345783600702615,0
199,9,1,0.060292621298774551,0.16454626193461991,0
200,3,1,0.021525674207311579,-0.23320632228261792,0
201,2,1,0.17105870367877965,-0.20163273517361438,0
202,5,2,-0.22808942831999002,-0.25481171651287793,0
203,2,1,0.20651923731867555,0.045879691567829319,0
204,4,1,0.23615570677439141,0.019831940560613243,0
